#ItemCode,ItemName,Price,TaxPrice,MasterPrice
7774,金??&三文?2???,100,110,110
7775,幼鰤?&三文?2???,150,165,165
7776,幼鰤?&??2???,150,165,165
7777,幼鰤?&??2???,150,165,165
7778,幼鰤?&?肉2???,196,215,215
7779,活?幼鰤?,191,210,210
7780,海螺,105,115,115
7783,魁蛤,105,115,115
7789,炭???,191,210,210
7794,三文?肥,96,105,105
7795,生?,96,105,105
7797,金??&??2???,100,110,110
7798,金??&??2???,100,110,110
7800,炙?醋???,137,150,150
7801,合?里脊肉,100,110,110
7803,炙?醋???,69,75,75
7804,合?里脊肉,50,55,55
7805,??,173,190,190
7806,蒲???,210,230,230
7807,猪舌配?味?汁,100,110,110
7811,扇?,191,210,210
7814,石垣?,119,130,130
7818,2?金????（??金??、??金??）,100,110,110
7819,金??,50,55,55
7820,??金??,50,55,55
7821,北?,50,55,55
7822,三文?,50,55,55
7824,?,50,55,55
7825,煮星?,87,95,95
7826,?蛋卷,50,55,55
7827,醋?肥青花?,60,65,65
7828,生章?,87,95,95
7829,醋?肥青花?,119,130,130
7830,生章?,173,190,190
7835,??,191,210,210
7840,海螺,210,230,230
7848,三文?肥,191,210,210
7852,生?,191,210,210
7874,魁蛤,210,230,230
7879,金??中肥,282,310,310
7883,炭???,100,110,110
7885,活?幼鰤?,100,110,110
7887,??肉,191,210,210
7889,??肉,96,105,105
7918,,364,400,400
7965,蛋黄&金??糜??卷,100,110,110
8006,桃味利口酒 ???茶,446,490,490
8008,玉乃光 酒魂（日本酒、?酒）,810,890,890
8013,芋焼酎金黑(加?水),482,530,530
8014,芋焼酎\n金黑(加水),482,530,530
8015,芋焼酎金黑(加冰?),482,530,530
8018,黑??高杯酒,446,490,490
8020,原味?酸果酒,446,490,490
8021,???檬?酸果酒,446,490,490
8023,玉乃光 酒魂（日本酒、冰鎮）,810,890,890
8028,松竹梅 豪快 辣口（?酒）,573,630,630
8030,松竹梅 豪快 \n辣口（冷酒）,573,630,630
8032,生?（大）,900,990,990
8034,朝日超爽零酒精?酒\n（无酒精）,446,490,490
8041,朝日超爽?酒 \n（生?）,537,590,590
8053,冰??,173,190,190
8054,???,173,190,190
8063,朝日零酒精?酒（无酒精）,482,530,530
8076,起泡清酒 澪,573,630,630
8082,松竹梅 豪快 \n辣口（常温酒）,573,630,630
8094,身体健康的茶,237,260,260
8110,儿童用碗、餐叉,0,0,0
8116,甜醋生姜,0,0,0
8121,?羹,0,0,0
8135,?三文?,0,0,0
8136,三文?肥,0,0,0
8137,SENGOKU生?,0,0,0
8138,?,0,0,0
8140,蒸扇?,0,0,0
8144,生章?,0,0,0
8146,海螺,0,0,0
8148,魁蛤,0,0,0
8150,炙???配蛋黄?,0,0,0
8151,炙???配蛋黄?&胡椒,0,0,0
8152,??肉配青紫?叶,0,0,0
8153,煮星?,0,0,0
8156,?蛋卷,0,0,0
8157,稻荷寿司,0,0,0
8159,??,0,0,0
8161,??天??握寿司,0,0,0
8162,??天??握寿司（配蛋黄?）,0,0,0
8166,牛油果&三文?,0,0,0
8167,???味??,0,0,0
8168,牛油果&??,0,0,0
