#ItemCode,ItemName,Price,TaxPrice,MasterPrice
6330,1貫)とり天にぎりマヨ,100,110,110
6332,玉ねぎと油揚げの赤だし,146,160,160
6335,甘ガリ天盛り,100,110,110
6336,サラダにぎり,100,110,110
6337,先ずコレ定番にぎり７貫,737,810,810
6339,合鴨オニオンマヨ,137,150,150
6340,▼▼焦がし醤油炙りはまち,228,250,250
6345,おこさまにぎりセット,283,311,311
6348,▼▼甘海老にぎり,191,210,210
6350,納豆かっぱ軍艦,100,110,110
6352,ねぎとろ納豆軍艦,100,110,110
6354,とり唐揚げ,300,330,330
6357,ｻﾞｸ旨ﾗｰ油海鮮たたき軍艦,191,210,210
6358,ﾏﾖｻﾞｸ旨ﾗｰ油海鮮ﾀﾀｷ軍艦,191,210,210
6360,おこさまカレーセット,283,311,311
6361,天ぷら盛合わせ(天つゆ付),446,490,490
6363,水餃子ザク旨ラー油,300,330,330
6364,ｵｸﾗｲｶめかぶ納豆ｶｯﾊﾟ軍艦,100,110,110
6366,星やﾊｰﾄのチキンナゲット,210,230,230
6367,▼▼和風ﾊﾝﾊﾞｰｸﾞにぎり,191,210,210
6368,□贅沢人気ネタ三昧,719,790,790
6369,▼▼1貫)天然車海老,237,260,260
6371,★極み7貫・ｱｵｻ・茶碗蒸,1982,2180,2180
6374,枝豆,100,110,110
6375,大玉揚げたこ焼き 2個,173,190,190
6379,京わらび餅,100,110,110
6381,1貫)ねぎとろ納豆軍艦,50,55,55
6383,貝の味噌汁,282,310,310
6384,貝の赤だし,282,310,310
6385,大玉揚げたこ焼き 5個,391,430,430
6386,▼▼▼3種の直火炙食べ比,391,430,430
6387,ｼｬﾘﾊｰﾌにぎり12貫,810,890,890
6389,1貫ｻﾞｸ旨ﾗｰ油海鮮ﾀﾀｷ軍艦,96,105,105
6392,1貫)ﾅｽ揚げひたしごまみそ,60,65,65
6393,1貫ﾏﾖｻﾞｸ旨ﾗｰ油海鮮たたき,96,105,105
6394,1貫)ごま大葉いなり,50,55,55
6395,おこさまプレート,172,189,189
6397,1貫)炙り〆にしん,69,75,75
6399,さっぱりシューアイス,100,110,110
6401,▼1貫)茹でずわい蟹,182,200,200
6402,1貫)炙り〆にしん大葉,69,75,75
6404,小なす浅漬け盛り,191,210,210
6406,1貫)甘海老にぎり,96,105,105
6417,▼▼3種の天ぷら食べ比べ,264,290,290
6418,まかないｻﾗﾀﾞごま醤油ドレ,419,460,460
6419,1貫)とろいわし,100,110,110
6421,▼1貫)ほたて,191,210,210
6423,1貫)塩炙りとろいわし,137,150,150
6425,おこさまポテトプレート,172,189,189
6428,スムージー風ｱｻｲｰ&ｱｾﾛﾗ,591,650,650
6429,ダブルｱｻｲｰ&アセロラ,682,750,750
6432,□贅沢いくら三昧,719,790,790
6433,クリームケーキ,191,210,210
6434,アセロラアップルドリンク,300,330,330
6440,小なす浅漬けにぎり,146,160,160
6442,★香ばし炙りおにぎり,146,160,160
6443,★炙りおにぎりサラダのせ,191,210,210
6444,★炙りおにぎりタラコのせ,191,210,210
6445,かにみそ,146,160,160
6449,カムジャパン,391,430,430
6450,★炙りおにぎりイクラのせ,264,290,290
6451,★炙りおにぎり&汁物ｾｯﾄ,282,310,310
6452,★サラダおにぎり&汁物ｾｯﾄ,328,360,360
6453,★たらこおにぎり&汁物ｾｯﾄ,328,360,360
6454,★いくらおにぎり&汁物ｾｯﾄ,400,440,440
6455,ﾍﾞﾋﾞｰﾌｰﾄﾞ(角切り野菜ﾐｯｸｽ,191,210,210
6456,ﾍﾞﾋﾞｰﾌｰﾄﾞ(チキンライス,191,210,210
6458,1貫)小なす浅漬けにぎり,73,80,80
6460,にぎり12貫 人気ﾈﾀ尽くし,810,890,890
6461,おこさま　ドリンクバー,61,67,67
6462,1貫)特盛せいこ蟹軍艦ｶﾆﾐｿ,137,150,150
6463,せいこ蟹外子内子軍艦ｷｭｳﾘ,182,200,200
6467,かにみそマヨ,146,160,160
6468,卵黄牛しぐれ煮軍艦,119,130,130
6473,特盛とり唐揚げﾏﾖなし,419,460,460
6476,いちご練乳杏仁ﾊﾞﾆﾗｼｪｲｸ,391,430,430
6477,1貫)白えび包み,328,360,360
6479,▼白身魚天マヨ,182,200,200
6480,まぐろ節香るかけうどん,191,210,210
6481,まぐろ節香るかけうどん,191,210,210
6482,1貫)オニオンサーモン,69,75,75
6483,1貫)オニオンサーモンマヨ,69,75,75
6485,▼1貫)はまちはらみ塩炙り,210,230,230
6489,贅沢えび三昧,446,490,490
6490,▼▼1貫)大切り蝦夷あわび,264,290,290
6495,いか天ソースマヨにぎり,146,160,160
6500,えび天にぎり(マヨ),119,130,130
6501,いか天にぎり,119,130,130
6503,えび天にぎり,119,130,130
6510,ししゃもっこ軍艦,100,110,110
6516,1貫)あじ竜田にぎり,100,110,110
6518,1貫)合鴨ロース,50,55,55
6519,1貫)あじ竜田にぎりｵﾆｵﾝ,137,150,150
6520,1貫)合鴨オニオンマヨ,69,75,75
6521,1貫)あじ塩炙り,114,125,125
6522,1貫)ねぎとろにぎり,50,55,55
6524,1貫)まいたけ天にぎり,50,55,55
6525,▼▼▼1貫)大切大とろ塩炙,355,390,390
6529,1貫)本ずわい蟹,146,160,160
6530,1貫ﾌｸﾞ塩炙りポン酢ジュレ,100,110,110
6534,とり唐揚げ野菜あんかけ,391,430,430
6535,1貫)サラダにぎり,50,55,55
6537,1貫)ねぎとろザク旨ラー油,69,75,75
6538,1貫)サラダｻﾞｸ旨ﾗｰ油,69,75,75
6539,1貫)サラダ感動コーン軍艦,50,55,55
6540,1貫)かにカマ天にぎり,100,110,110
6545,1貫)あじたたき海苔包み,110,120,120
6546,1貫)あじたたき大葉包み,110,120,120
6547,あじ竜田野菜あんかけ,391,430,430
6549,たたき軍艦,155,170,170
6551,野菜あんかけ茶碗蒸し,300,330,330
6552,ねぎとろ軍艦,100,110,110
6554,サラダ軍艦,100,110,110
6555,納豆軍艦,100,110,110
6557,1貫)えびフライにぎりマヨ,119,130,130
6560,▼▼炭焼きかつおたたき,191,210,210
6568,北陸家系ラーメン,491,540,540
6569,北陸家系ラーメン甘ガリ,491,540,540
6570,家系倍盛ﾁｬｰｼｭｰほうれん草,537,590,590
6571,ﾐﾆｼｬﾘ丼（ザク旨ラー油）,173,190,190
6572,軍艦12貫 人気ネタ尽くし,710,780,780
6573,ミニシャリ丼（ねぎマヨ）,146,160,160
6575,ラーメン海苔（袋）,100,110,110
6579,1貫)うに包み,100,110,110
6580,1貫)かにみそ,73,80,80
6581,1貫)かにみそマヨ,73,80,80
6582,1貫)卵黄牛しぐれ煮軍艦,60,65,65
6584,▼▼1貫)中とろ うに醤油,264,290,290
6585,▼▼1貫ｳﾆとこぼしｲｸﾗ包み,264,290,290
6587,1貫)ｳﾆ醤油甘海老大葉包,173,190,190
6588,うに醤油（カップ）,100,110,110
6589,□新物贅沢うに三昧(増量),719,790,790
6590,新物うに茶碗蒸し,391,430,430
6591,▼▼かつおﾀﾀｷ香味野菜,191,210,210
6592,1貫)乙女鯛,100,110,110
6593,炙り乙女鯛の塩ﾗｰﾒﾝ(2枚),419,460,460
6594,生たこ,173,190,190
6597,1貫)うなぎ刻み包み,100,110,110
6598,1貫)乙女鯛ｱｵｻ出汁ｱﾝｶｹ,146,160,160
6599,まぐろづくし丼,782,860,860
6600,★まぐろづくし丼&あおさ,900,990,990
6602,9種の海鮮丼,782,860,860
6603,★海鮮9種丼&あおさ,900,990,990
6604,1貫)乙女鯛漬け包み柚子,137,150,150
6605,乙女鯛のｶﾙﾊﾟｯﾁｮ柚子ﾄﾞﾚ,419,460,460
6606,★にぎり12貫&茶碗蒸&ｱｵｻ,1110,1220,1220
6607,苺のﾌﾟﾚﾐｱﾑﾌﾟﾘﾝﾊﾟﾌｪ,464,510,510
6608,★ｴﾋﾞ天ｳﾄﾞﾝ茶碗蒸ｲﾅﾘ２,628,690,690
6609,炙りえびマヨ,137,150,150
6610,炙りえびマヨペッパー,137,150,150
6613,1貫)乙女鯛天にぎり,137,150,150
6614,▼▼1貫)ﾊﾏﾁﾊﾗﾐ カラスミ,228,250,250
6615,浜焼き風 えび,137,150,150
6616,浜焼き風 あかいかゲソ,137,150,150
6617,サーモンマヨ炙り,137,150,150
6618,サーモンマヨペッパー炙り,137,150,150
6619,とろ〆さば炙り,155,170,170
6620,浜焼き風 玉子,137,150,150
6622,だし巻玉子,119,130,130
6623,温かいだし巻玉子,119,130,130
6624,▼▼1貫)ﾊﾏﾁ漁師風ｶﾗｽﾐ包,228,250,250
6625,玉ねぎ天盛り,191,210,210
6626,ちょこっとフライドポテト,210,230,230
6627,きゅうり醤油ドレ＆マヨ,100,110,110
6629,みたらし団子(炙り),191,210,210
6630,まぐろ出汁の醤油ラーメン,419,460,460
6631,バニラアイス,100,110,110
6634,納豆（カップ）,100,110,110
6635,とろろ（カップ）,100,110,110
6636,ちょこっととり唐揚げ,210,230,230
6637,ｻﾞｸ旨ラー油オニオン(ｶｯﾌﾟ,100,110,110
6639,トッピング3点セット,200,220,220
6640,炙ﾘ乙女鯛の塩ﾗｰﾒﾝ2枚追麺,628,690,690
6642,1貫)生たこ,87,95,95
6643,おでん5種盛り合わせｶﾗｼ,537,590,590
6644,おでん 大根,119,130,130
6645,おでん 玉子,146,160,160
6646,おでん こんにゃく,119,130,130
6647,おでん つみれ,173,190,190
6648,おでん ちくわ,100,110,110
6650,本日のおでん2種盛り,191,210,210
6652,1貫)炙りえびマヨ,69,75,75
6653,1貫)炙りえびマヨペッパー,69,75,75
6654,1貫)浜焼き風 えび,69,75,75
6655,1貫)浜焼き風あかいかゲソ,69,75,75
6656,1貫)サーモンマヨ炙り,69,75,75
6657,1貫サーモンﾏﾖﾍﾟｯﾊﾟｰ炙り,69,75,75
6658,1貫)とろ〆さば炙り,78,85,85
6661,1貫)浜焼き風 玉子,69,75,75
6666,さんが天盛り,191,210,210
6667,★炙乙女鯛ﾗｰﾒﾝ茶碗ｲﾅﾘ2ｺ,655,720,720
6684,納豆巻,100,110,110
6686,かっぱ巻,100,110,110
6694,▼▼▼1貫)ぼたん海老,391,430,430
6707,Qooりんご,237,260,260
6708,Qooぶどう,237,260,260
6710,まぐろ・いか二種盛り,100,110,110
6717,まぐろ・えび二種盛り,100,110,110
6720,えび天巻,173,190,190
6722,魚の竜田ロール,173,190,190
6723,まぐろ焦がし醤油,137,150,150
